Geography,Indicator,Age Group,Sex,Number of Persons,Percent,
Canada,"Perceived health, very good or excellent","Total, 1 to 17",Both sexes,5798000 ,88.8,
Canada,"Perceived health, very good or excellent","Total, 1 to 17",Male,2964200 ,88.5,
Canada,"Perceived health, very good or excellent","Total, 1 to 17",Female,2833800 ,89.1,
Canada,"Perceived health, very good or excellent",1 to 4 years,Both sexes,1408200 ,91.8,
Canada,"Perceived health, very good or excellent",1 to 4 years,Male,716800 ,91,
Canada,"Perceived health, very good or excellent",1 to 4 years,Female,691400 ,92.6,
Canada,"Perceived health, fair or poor ","Total, 1 to 17",Both sexes,112900 ,1.73,
Canada,"Perceived health, fair or poor ","Total, 1 to 17",Male,58400 ,1.75,
Canada,"Perceived health, fair or poor ","Total, 1 to 17",Female,54500 ,1.71,
Canada,"Perceived health, fair or poor ",1 to 4 years,Both sexes,17100 ,1.12,
Canada,"Perceived health, fair or poor ",1 to 4 years,Male,9800 ,1.25,
Canada,"Perceived health, fair or poor ",1 to 4 years,Female,7300 ,0.97,
Canada,"Perceived mental health, very good or excellent","Total, 1 to 17",Both sexes,5424200 ,83.2,
Canada,"Perceived mental health, very good or excellent","Total, 1 to 17",Male,2770600 ,82.9,
Canada,"Perceived mental health, very good or excellent","Total, 1 to 17",Female,2653600 ,83.5,
Canada,"Perceived mental health, very good or excellent",1 to 4 years,Both sexes,1431900 ,93.4,
Canada,"Perceived mental health, very good or excellent",1 to 4 years,Male,728500 ,92.7,
Canada,"Perceived mental health, very good or excellent",1 to 4 years,Female,703400 ,94.2,
Canada,"Perceived mental health, fair or poor","Total, 1 to 17",Both sexes,266700 ,4.1,
Canada,"Perceived mental health, fair or poor","Total, 1 to 17",Male,137800 ,4.1,
Canada,"Perceived mental health, fair or poor","Total, 1 to 17",Female,128900 ,4.1,
Canada,"Perceived mental health, fair or poor",1 to 4 years,Both sexes,14100 ,0.92,
Canada,"Perceived mental health, fair or poor",1 to 4 years,Male,10000 ,1.27,
Canada,"Perceived mental health, fair or poor",1 to 4 years,Female,4100 ,0.56,
Canada,Anxiety disorder (5 to 17 years old),"Total, 5 to 17 years",Both sexes,252400 ,5,
Canada,Anxiety disorder (5 to 17 years old),"Total, 5 to 17 years",Male,113900 ,4.4,
Canada,Anxiety disorder (5 to 17 years old),"Total, 5 to 17 years",Female,138500 ,5.7,
Canada,Mood disorder (5 to 17 years old),"Total, 5 to 17 years",Both sexes,102900 ,2.1,
Canada,Mood disorder (5 to 17 years old),"Total, 5 to 17 years",Male,40200 ,1.57,
Canada,Mood disorder (5 to 17 years old),"Total, 5 to 17 years",Female,62700 ,2.6,
Canada,Eating disorder (5 to 17 years old),"Total, 5 to 17 years",Both sexes,15800 ,0.32,
