DIM: Sex (3),DIM: Dwelling type (5),Dim: Age (20): Member ID: [1]: Total - Age,Dim: Age (20): Member ID: [2]: 0 to 14 years,Dim: Age (20): Member ID: [3]: 15 to 19 years,Dim: Age (20): Member ID: [6]: 20 to 24 years,% 0 to 14 in house,% 15 to 19 in house,% 20 to 24 in house
Total - Sex,Single-detached houses,20748070,3710440,1335120,1200490,0.63558766,0.659038631,0.535305724
Male,Single-detached houses,10404180,1903470,688920,630340,0.63618756,0.663022347,0.550775038
Female,Single-detached houses,10343890,1806965,646200,570150,0.634955189,0.654850576,0.519179548
Total - Sex,Single-detached houses,393805,57260,21315,17835,0.769468521,0.782201835,0.643746616
Male,Single-detached houses,195400,29290,10965,9280,0.767055126,0.784334764,0.666906216
Female,Single-detached houses,198400,27970,10350,8555,0.772118703,0.779661017,0.620377085
Total - Sex,Single-detached houses,123625,21235,7050,6580,0.654593095,0.643541762,0.471009306
Male,Single-detached houses,61165,10815,3630,3365,0.649939904,0.648793566,0.492679356
Female,Single-detached houses,62465,10420,3420,3220,0.659702437,0.638059701,0.450980392
Total - Sex,Single-detached houses,10350,1675,600,465,0.949008499,0.952380952,0.911764706
Male,Single-detached houses,5035,825,315,230,0.948275862,0.940298507,0.92
Female,Single-detached houses,5310,855,285,235,0.955307263,0.966101695,0.903846154
Total - Sex,Single-detached houses,9490,1420,500,425,0.687651332,0.649350649,0.611510791
Male,Single-detached houses,4630,690,270,200,0.676470588,0.65060241,0.597014925
Female,Single-detached houses,4860,730,230,220,0.701923077,0.638888889,0.611111111
Total - Sex,Single-detached houses,9520,1650,595,380,0.75862069,0.777777778,0.603174603
Male,Single-detached houses,4710,860,300,175,0.754385965,0.779220779,0.593220339
Female,Single-detached houses,4815,785,295,205,0.758454106,0.776315789,0.611940299
Total - Sex,Single-detached houses,24460,3420,1355,1285,0.78440367,0.794721408,0.702185792
Male,Single-detached houses,12055,1755,685,630,0.77827051,0.796511628,0.707865169
Female,Single-detached houses,12405,1660,675,650,0.788598575,0.794117647,0.691489362
Total - Sex,Single-detached houses,105535,17910,6880,5525,0.790030878,0.796757383,0.641323273
Male,Single-detached houses,52265,9160,3520,2880,0.792044963,0.794582393,0.656036446
Female,Single-detached houses,53270,8750,3360,2645,0.787578758,0.799048751,0.625295508
Total - Sex,Single-detached houses,46105,8385,3020,2520,0.741707209,0.736585366,0.530526316
Male,Single-detached houses,22605,4285,1530,1280,0.742634315,0.737349398,0.536687631
Female,Single-detached houses,23500,4105,1490,1240,0.742986425,0.735802469,0.522105263
Total - Sex,Single-detached houses,9905,1725,725,470,0.655893536,0.710784314,0.573170732
Male,Single-detached houses,4885,875,395,265,0.660377358,0.731481481,0.61627907
Female,Single-detached houses,5020,850,330,205,0.651340996,0.6875,0.539473684
Total - Sex,Single-detached houses,647760,99190,39190,31145,0.741524315,0.764757537,0.55462559
Male,Single-detached houses,319580,50840,20255,16225,0.743981854,0.772060225,0.576478948
Female,Single-detached houses,328185,48350,18935,14920,0.738957665,0.75724855,0.532666905
Total - Sex,Single-detached houses,230745,39235,14830,12035,0.648619607,0.6639803,0.398246195
Male,Single-detached houses,114245,20165,7600,6260,0.652694611,0.671378092,0.416916417
Female,Single-detached houses,116500,19070,7230,5770,0.644256757,0.655782313,0.379480434
Total - Sex,Single-detached houses,19490,3065,1265,895,0.768170426,0.805732484,0.621527778
Male,Single-detached houses,9610,1585,685,455,0.786600496,0.820359281,0.65
Female,Single-detached houses,9880,1480,580,440,0.751269036,0.794520548,0.598639456
Total - Sex,Single-detached houses,33290,5335,2070,1540,0.765972721,0.781132075,0.616
Male,Single-detached houses,16360,2685,1060,790,0.767142857,0.785185185,0.637096774
Female,Single-detached houses,16925,2650,1015,750,0.764790765,0.780769231,0.595238095
Total - Sex,Single-detached houses,26820,4255,1605,1235,0.812022901,0.818877551,0.750759878
Male,Single-detached houses,13170,2170,820,665,0.8173258,0.811881188,0.782352941
Female,Single-detached houses,13645,2085,785,570,0.805019305,0.830687831,0.7125
Total - Sex,Single-detached houses,76075,10635,4445,4235,0.772050817,0.821626617,0.752888889
Male,Single-detached houses,36675,5355,2325,2165,0.766094421,0.840867993,0.758318739
Female,Single-detached houses,39400,5280,2130,2075,0.778187178,0.805293006,0.747747748
Total - Sex,Single-detached houses,544080,83630,31570,25490,0.757072376,0.777681981,0.615106178
Male,Single-detached houses,271270,42655,16390,13370,0.757570376,0.784210526,0.628437133
Female,Single-detached houses,272805,40970,15185,12120,0.756392504,0.77100787,0.601190476
Total - Sex,Single-detached houses,88810,15255,5305,4380,0.671582655,0.686731392,0.489385475
Male,Single-detached houses,44245,7830,2750,2260,0.670376712,0.693568726,0.512471655
Female,Single-detached houses,44565,7420,2560,2125,0.672710789,0.679946879,0.46961326
Total - Sex,Single-detached houses,82985,14010,5335,4180,0.690487925,0.722410291,0.574965612
Male,Single-detached houses,41035,7065,2775,2195,0.686922703,0.727391874,0.595658073
Female,Single-detached houses,41945,6940,2560,1985,0.693306693,0.717086835,0.553695955
Total - Sex,Single-detached houses,66940,11855,4225,3305,0.712225894,0.713080169,0.450886767
Male,Single-detached houses,33110,5935,2190,1720,0.709503885,0.722772277,0.466757123
Female,Single-detached houses,33830,5925,2035,1585,0.716012085,0.701724138,0.433652531
Total - Sex,Single-detached houses,23435,2865,1265,1020,0.78600823,0.805732484,0.720848057
Male,Single-detached houses,11670,1450,635,535,0.777479893,0.808917197,0.727891156
Female,Single-detached houses,11760,1415,630,485,0.79494382,0.807692308,0.718518519
Total - Sex,Single-detached houses,22030,3190,1295,1055,0.823225806,0.843648208,0.74822695
Male,Single-detached houses,10785,1630,640,575,0.827411168,0.842105263,0.771812081
Female,Single-detached houses,11250,1555,655,485,0.816272966,0.84516129,0.729323308
Total - Sex,Single-detached houses,11225,1550,575,535,0.734597156,0.771812081,0.66875
Male,Single-detached houses,5535,785,300,270,0.720183486,0.789473684,0.683544304
Female,Single-detached houses,5690,760,270,265,0.741463415,0.72,0.6625
Total - Sex,Single-detached houses,9100,1130,445,440,0.70846395,0.741666667,0.651851852
Male,Single-detached houses,4535,580,250,225,0.703030303,0.793650794,0.661764706
Female,Single-detached houses,4560,555,195,220,0.725490196,0.696428571,0.656716418
Total - Sex,Single-detached houses,2130,425,130,95,0.825242718,0.866666667,0.791666667
Male,Single-detached houses,995,210,55,45,0.807692308,0.916666667,0.75
Female,Single-detached houses,1130,215,75,50,0.843137255,0.882352941,0.769230769
Total - Sex,Single-detached houses,17060,2485,880,660,0.802907916,0.814814815,0.663316583
Male,Single-detached houses,8570,1305,415,340,0.818181818,0.798076923,0.653846154
Female,Single-detached houses,8495,1180,465,315,0.786666667,0.830357143,0.670212766
Total - Sex,Single-detached houses,4188855,756370,254190,224650,0.567429997,0.591442133,0.449214649
Male,Single-detached houses,2122870,387620,131030,117450,0.56804543,0.598187587,0.464973574
Female,Single-detached houses,2065980,368750,123160,107200,0.566784507,0.584430683,0.433131313
Total - Sex,Single-detached houses,12135,1730,555,480,0.76043956,0.711538462,0.574850299
Male,Single-detached houses,6165,900,285,260,0.759493671,0.670588235,0.584269663
Female,Single-detached houses,5970,835,265,215,0.766055046,0.736111111,0.544303797
Total - Sex,Single-detached houses,33440,5860,1805,1505,0.732042473,0.664825046,0.459541985
Male,Single-detached houses,16840,2980,950,775,0.718072289,0.688405797,0.48136646
Female,Single-detached houses,16600,2880,855,730,0.747081712,0.642857143,0.439759036
Total - Sex,Single-detached houses,17790,3340,965,690,0.741398446,0.684397163,0.46779661
Male,Single-detached houses,8950,1665,510,370,0.727074236,0.693877551,0.480519481
Female,Single-detached houses,8840,1675,455,315,0.752808989,0.674074074,0.443661972
Total - Sex,Single-detached houses,17600,2925,1055,850,0.711678832,0.694078947,0.592334495
Male,Single-detached houses,8955,1435,500,445,0.706896552,0.680272109,0.597315436
Female,Single-detached houses,8645,1485,550,400,0.715662651,0.700636943,0.583941606
Total - Sex,Single-detached houses,93535,16295,5215,4425,0.673347107,0.66180203,0.483606557
Male,Single-detached houses,47615,8235,2715,2300,0.67032967,0.667076167,0.493033226
Female,Single-detached houses,45925,8060,2495,2130,0.676458246,0.654855643,0.475446429
Total - Sex,Single-detached houses,19335,3540,1130,930,0.674285714,0.670623145,0.523943662
Male,Single-detached houses,9850,1805,585,485,0.672253259,0.680232558,0.538888889
Female,Single-detached houses,9490,1735,545,445,0.676413255,0.664634146,0.51744186
Total - Sex,Single-detached houses,10215,1795,530,410,0.737166324,0.711409396,0.598540146
Male,Single-detached houses,5220,920,260,235,0.733067729,0.693333333,0.618421053
Female,Single-detached houses,4995,870,265,175,0.740425532,0.697368421,0.564516129
Total - Sex,Single-detached houses,16380,3505,1105,845,0.662570888,0.671732523,0.518404908
Male,Single-detached houses,8370,1750,595,440,0.648148148,0.708333333,0.530120482
Female,Single-detached houses,8015,1755,515,405,0.676300578,0.635802469,0.509433962
Total - Sex,Single-detached houses,398505,76905,24080,20985,0.618008679,0.627164995,0.408865075
Male,Single-detached houses,201690,39375,12450,10940,0.621105765,0.63813429,0.428935503
Female,Single-detached houses,196815,37535,11635,10050,0.61492464,0.616260593,0.389233153
Total - Sex,Single-detached houses,8460,1615,530,395,0.693133047,0.711409396,0.530201342
Male,Single-detached houses,4255,785,280,205,0.676724138,0.717948718,0.539473684
Female,Single-detached houses,4205,830,255,195,0.706382979,0.708333333,0.527027027
Total - Sex,Single-detached houses,20565,4040,1195,1000,0.736554239,0.705014749,0.563380282
Male,Single-detached houses,10445,2085,615,505,0.732864675,0.715116279,0.55801105
Female,Single-detached houses,10120,1955,585,490,0.740530303,0.696428571,0.566473988
Total - Sex,Single-detached houses,20070,3100,960,920,0.811518325,0.783673469,0.661870504
Male,Single-detached houses,10090,1595,500,470,0.807594937,0.8,0.657342657
Female,Single-detached houses,9985,1505,460,445,0.815718157,0.766666667,0.659259259
Total - Sex,Single-detached houses,110855,20945,7055,5470,0.611711449,0.600425532,0.362491716
Male,Single-detached houses,55915,10835,3640,2835,0.611628563,0.607679466,0.374257426
Female,Single-detached houses,54940,10105,3415,2635,0.611312765,0.592367736,0.350632069
Total - Sex,Single-detached houses,6455,1020,405,280,0.496350365,0.554794521,0.375838926
Male,Single-detached houses,3245,530,220,140,0.488479263,0.586666667,0.35
Female,Single-detached houses,3215,495,185,140,0.505102041,0.536231884,0.405797101
Total - Sex,Single-detached houses,28255,5245,1765,1315,0.666031746,0.661048689,0.491588785
Male,Single-detached houses,14315,2720,905,690,0.675776398,0.67037037,0.5
Female,Single-detached houses,13940,2520,860,625,0.654545455,0.651515152,0.482625483
Total - Sex,Single-detached houses,83345,13895,4650,4170,0.623233909,0.60665362,0.417208604
Male,Single-detached houses,42090,7195,2355,2135,0.621598272,0.610103627,0.433502538
Female,Single-detached houses,41255,6700,2295,2035,0.625,0.602362205,0.400985222
Total - Sex,Single-detached houses,31925,4745,1580,1330,0.69270073,0.659707724,0.506666667
Male,Single-detached houses,16050,2450,810,690,0.698005698,0.666666667,0.507352941
Female,Single-detached houses,15875,2295,775,640,0.689189189,0.654008439,0.505928854
Total - Sex,Single-detached houses,57375,11250,3585,2665,0.691669228,0.671348315,0.49906367
Male,Single-detached houses,29200,5775,1840,1380,0.689552239,0.680221811,0.50273224
Female,Single-detached houses,28175,5480,1745,1285,0.694110196,0.664761905,0.496138996
Total - Sex,Single-detached houses,45250,8195,2745,2230,0.587244715,0.616853933,0.483206934
