"Labour force characteristics by province, monthly, seasonally adjusted" 1 2 3
"Monthly"
"Table: 14-10-0287-03 (formerly CANSIM 282-0087)"
"Geography: Canada, Province or territory"

"Sex","Age group","Statistics","Data type","Geography 4","Labour force characteristics","October 2019","September 2020","October 2020","October 2019 to October 2020","September 2020 to October 2020","September 2020 to October 2020","October 2019 to October 2020"
"Both sexes","15 years and over","Estimate","Seasonally adjusted","Canada","","Percentage",,,,,"Percentage change",
,,,,,"Unemployment rate 5","5.6","9.0","8.9","3.3","-0.1","...","..."
,,,,,"Participation rate 6","65.6","65.0","65.2","-0.4","0.2","...","..."
,,,,"Newfoundland and Labrador","Unemployment rate 5","11.1","14.8","12.8","1.7","-2.0","...","..."
,,,,,"Participation rate 6","57.9","57.8","58.0","0.1","0.2","...","..."
,,,,"Prince Edward Island","Unemployment rate 5","8.2","10.1","10.0","1.8","-0.1","...","..."
,,,,,"Participation rate 6","66.3","63.7","64.3","-2.0","0.6","...","..."
,,,,"Nova Scotia","Unemployment rate 5","8.1","7.9","8.7","0.6","0.8","...","..."
,,,,,"Participation rate 6","62.7","60.4","61.3","-1.4","0.9","...","..."
,,,,"New Brunswick","Unemployment rate 5","8.1","10.4","10.1","2.0","-0.3","...","..."
,,,,,"Participation rate 6","60.9","61.3","61.5","0.6","0.2","...","..."
,,,,"Quebec","Unemployment rate 5","5.0","7.4","7.7","2.7","0.3","...","..."
,,,,,"Participation rate 6","65.0","64.7","64.6","-0.4","-0.1","...","..."
,,,,"Ontario","Unemployment rate 5","5.3","9.5","9.6","4.3","0.1","...","..."
,,,,,"Participation rate 6","65.0","64.7","65.0","0.0","0.3","...","..."
,,,,"Manitoba","Unemployment rate 5","5.3","7.0","7.1","1.8","0.1","...","..."
,,,,,"Participation rate 6","66.2","67.0","66.8","0.6","-0.2","...","..."
,,,,"Saskatchewan","Unemployment rate 5","5.2","6.8","6.4","1.2","-0.4","...","..."
,,,,,"Participation rate 6","68.8","67.8","67.3","-1.5","-0.5","...","..."
,,,,"Alberta","Unemployment rate 5","6.8","11.7","10.7","3.9","-1.0","...","..."
,,,,,"Participation rate 6","71.2","69.7","69.6","-1.6","-0.1","...","..."
,,,,"British Columbia","Unemployment rate 5","4.8","8.4","8.0","3.2","-0.4","...","..."
,,,,,"Participation rate 6","65.3","63.7","64.3","-1.0","0.6","...","..."
"Males","15 years and over","Estimate","Seasonally adjusted","Canada","Unemployment rate 5","5.9","9.5","9.3","3.4","-0.2","...","..."
,,,,,"Participation rate 6","70.0","69.7","69.8","-0.2","0.1","...","..."
,,,,"Newfoundland and Labrador","Unemployment rate 5","12.0","18.9","16.6","4.6","-2.3","...","..."
,,,,,"Participation rate 6","61.5","61.9","61.6","0.1","-0.3","...","..."
,,,,"Prince Edward Island","Unemployment rate 5","10.2","11.1","10.0","-0.2","-1.1","...","..."
,,,,,"Participation rate 6","70.5","68.1","69.0","-1.5","0.9","...","..."
,,,,"Nova Scotia","Unemployment rate 5","9.2","8.3","10.2","1.0","1.9","...","..."
